Satellite_PRN_number,year,month,day,hour,minute,second,SV_clock_bias,SV_clock_drift,SV_clock_drift_rate,IODE,C_rs,Delta_n,M0,C_uc,e_Eccentricity,C_us,sqrt_A,T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA_DOT,IDOT,Codes_on_L2_channel,GPS_Week,L2_P,SV_accuracy,SV_health,TGD,IODS,t_tm,Fit_interval
5,22,1,16,0,0,0,-6.80E-05,-1.25E-12,0,101,-104.09375,4.17E-09,2.560176249,-5.45E-06,0.005898777,9.13E-06,5153.655954,0,7.64E-08,-0.412755917,-7.26E-08,0.959545375,204.03125,1.012982983,-7.72E-09,6.25E-11,1,2193,0,2,0,-1.12E-08,101,-5850,4
8,22,1,16,1,59,44,-5.23E-05,-1.59E-12,0,20,125.8125,4.43E-09,-3.022804791,6.55E-06,0.007127371,3.92E-06,5153.711456,7184,-9.31E-08,-2.487922546,-6.52E-08,0.965220283,308.75,0.079959958,-8.04E-09,2.54E-10,1,2193,0,2,0,5.12E-09,20,0,4
10,22,1,16,2,0,0,-0.000294648,-9.66E-12,0,22,-97.25,3.94E-09,-1.044177846,-5.18E-06,0.00743279,9.67E-06,5153.681917,7200,2.40E-07,-0.375628689,1.86E-09,0.972404065,199.59375,-2.536260759,-7.64E-09,-2.82E-11,1,2193,0,2,0,2.33E-09,22,30,4
13,22,1,16,0,0,0,0.000245974,6.03E-12,0,40,12.59375,4.50E-09,1.597451225,6.26E-07,0.005791416,6.93E-06,5153.670496,0,-1.43E-07,0.807603105,-1.68E-08,0.968376005,249.125,0.970271119,-7.92E-09,5.10E-10,1,2193,0,2,0,-1.12E-08,40,-2310,4
14,22,1,16,2,0,0,-7.12E-05,-5.34E-12,0,218,75.5625,4.40E-09,-0.318793705,3.89E-06,0.001329686,1.08E-05,5153.651001,7200,-5.59E-09,2.809042768,0,0.954439718,166.375,3.037619354,-7.80E-09,-3.10E-10,1,2193,0,2,0,-7.92E-09,730,90,4
15,22,1,16,2,0,0,-9.12E-05,2.84E-12,0,66,2.09375,5.11E-09,2.249147303,-4.66E-08,0.013921703,8.34E-06,5153.724268,7200,5.40E-08,0.549943604,-3.13E-07,0.929938951,202.15625,1.070175618,-8.01E-09,5.74E-10,1,2193,0,2,0,-1.07E-08,66,120,4
16,22,1,16,0,0,0,-0.00045617,-5.46E-12,0,93,91.9375,3.96E-09,3.014498927,4.57E-06,0.012643217,1.08E-05,5153.597723,0,-8.01E-08,2.858515622,-1.90E-07,0.971018114,177.375,0.697560515,-7.40E-09,-2.86E-10,1,2193,0,2,0,-1.02E-08,93,-6870,4
18,22,1,16,2,0,0,0.000260014,-7.39E-12,0,56,-67.1875,4.46E-09,1.149750698,-3.43E-06,0.002087281,1.45E-06,5153.630426,7200,2.98E-08,-1.400026147,-5.40E-08,0.970195132,353.15625,3.111552803,-8.29E-09,-2.57E-10,1,2193,0,2,0,-8.38E-09,56,180,4
21,22,1,16,2,0,0,0.000156193,7.96E-13,0,103,-69,4.60E-09,-2.957327745,-3.23E-06,0.024522087,-1.49E-07,5153.600313,7200,2.24E-08,-1.498415492,4.15E-07,0.958980009,376.75,-1.026060318,-8.05E-09,-1.13E-10,1,2193,0,2.8,0,-1.02E-08,103,210,4
23,22,1,16,2,0,0,1.08E-05,-3.87E-12,0,91,-105.84375,4.06E-09,0.306970713,-5.68E-06,0.001957356,9.15E-06,5153.704491,7200,6.15E-08,-0.400320219,-1.86E-09,0.967438989,208,2.912090171,-7.76E-09,-4.25E-11,1,2193,0,2,0,-8.38E-09,347,240,4
24,22,1,16,2,0,0,0.000277135,-1.14E-13,0,75,-9,5.51E-09,1.269036532,-5.12E-07,0.012278518,5.46E-06,5153.689335,7200,-1.49E-07,1.645190407,1.06E-07,0.933982064,261.71875,0.801155308,-8.55E-09,-3.17E-10,1,2193,0,2,0,2.33E-09,75,270,4
27,22,1,16,2,0,0,7.08E-05,2.16E-11,0,26,116.875,4.21E-09,-3.092854963,5.91E-06,0.010017617,4.04E-06,5153.651613,7200,-3.35E-08,-2.46874629,-1.47E-07,0.973892421,309.8125,0.629979022,-7.87E-09,2.40E-10,1,2193,0,2.8,0,1.86E-09,26,300,4
32,22,1,16,2,0,0,-5.12E-05,-6.14E-12,0,42,8.65625,4.52E-09,-2.411708905,4.75E-07,0.00541844,7.86E-06,5153.758408,7200,-2.42E-08,0.666255308,-5.40E-08,0.957882934,226.71875,-2.373685115,-7.77E-09,5.89E-10,1,2193,0,2,0,4.66E-10,42,330,4
