Satellite_PRN_number,year,month,day,hour,minute,second,SV_clock_bias,SV_clock_drift,SV_clock_drift_rate,IODE,C_rs,Delta_n,M0,C_uc,e_Eccentricity,C_us,sqrt_A,T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA_DOT,IDOT,Codes_on_L2_channel,GPS_Week,L2_P,SV_accuracy,SV_health,TGD,IODS,t_tm,Fit_interval
5,22,1,16,0,0,0.0,-6.803032010794e-05,-1.250555214938e-12,0.0,101.0,-104.09375,4.169102231271e-09,2.560176248749,-5.453824996948e-06,0.005898777395487,9.13068652153e-06,5153.655954361,0.0,7.636845111847e-08,-0.4127559167807,-7.264316082001e-08,0.9595453754536,204.03125,1.012982983104,-7.718178635977e-09,6.250260348431e-11,1.0,2193.0,0.0,2.0,0.0,-1.117587089539e-08,101.0,-5850.0,4.0
8,22,1,16,1,59,44.0,-5.232682451606e-05,-1.591615728103e-12,0.0,20.0,125.8125,4.428755904031e-09,-3.022804791039,6.550922989845e-06,0.007127370568924,3.92273068428e-06,5153.711456299,7184.0,-9.313225746155e-08,-2.487922546337,-6.519258022308e-08,0.9652202833791,308.75,0.07995995840179,-8.035334703944e-09,2.542963067476e-10,1.0,2193.0,0.0,2.0,0.0,5.122274160385e-09,20.0,0.0,4.0
10,22,1,16,2,0,0.0,-0.0002946481108665,-9.663381206337e-12,0.0,22.0,-97.25,3.937306861778e-09,-1.044177845924,-5.181878805161e-06,0.007432790007442,9.665265679359e-06,5153.681917191,7200.0,2.402812242508e-07,-0.3756286885455,1.862645149231e-09,0.9724040654925,199.59375,-2.536260759498,-7.644961300467e-09,-2.821546100149e-11,1.0,2193.0,0.0,2.0,0.0,2.328306436539e-09,22.0,30.0,4.0
13,22,1,16,0,0,0.0,0.0002459743991494,6.025402399246e-12,0.0,40.0,12.59375,4.495544400326e-09,1.597451225238,6.258487701416e-07,0.005791415809654,6.929039955139e-06,5153.670495987,0.0,-1.434236764908e-07,0.8076031049624,-1.676380634308e-08,0.9683760054105,249.125,0.9702711192296,-7.918186967127e-09,5.10021244432e-10,1.0,2193.0,0.0,2.0,0.0,-1.117587089539e-08,40.0,-2310.0,4.0
14,22,1,16,2,0,0.0,-7.120706140995e-05,-5.343281372916e-12,0.0,218.0,75.5625,4.403397704904e-09,-0.3187937052774,3.891065716743e-06,0.001329686143436,1.084618270397e-05,5153.651000977,7200.0,-5.587935447693e-09,2.809042768272,0.0,0.954439718211,166.375,3.037619354273,-7.797824810703e-09,-3.103700710164e-10,1.0,2193.0,0.0,2.0,0.0,-7.916241884232e-09,730.0,90.0,4.0
15,22,1,16,2,0,0.0,-9.122537449002e-05,2.84217094304e-12,0.0,66.0,2.09375,5.10699844127e-09,2.249147303019,-4.656612873077e-08,0.01392170344479,8.339062333107e-06,5153.72426796,7200.0,5.40167093277e-08,0.5499436036785,-3.129243850708e-07,0.9299389505471,202.15625,1.070175617659,-8.01033366255e-09,5.735953211189e-10,1.0,2193.0,0.0,2.0,0.0,-1.071020960808e-08,66.0,120.0,4.0
16,22,1,16,0,0,0.0,-0.0004561701789498,-5.456968210638e-12,0.0,93.0,91.9375,3.960879272235e-09,3.014498927352,4.572793841362e-06,0.01264321745839,1.079030334949e-05,5153.597723007,0.0,-8.009374141693e-08,2.858515622158,-1.899898052216e-07,0.9710181144592,177.375,0.6975605154868,-7.402094041214e-09,-2.860833450911e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,93.0,-6870.0,4.0
18,22,1,16,2,0,0.0,0.0002600140869617,-7.389644451905e-12,0.0,56.0,-67.1875,4.459471469172e-09,1.149750698406,-3.432855010033e-06,0.002087281085551,1.4528632164e-06,5153.630426407,7200.0,2.98023223877e-08,-1.400026147017,-5.40167093277e-08,0.9701951323387,353.15625,3.111552802629,-8.290702483894e-09,-2.56796410887e-10,1.0,2193.0,0.0,2.0,0.0,-8.381903171539e-09,56.0,180.0,4.0
21,22,1,16,2,0,0.0,0.00015619257465,7.958078640513e-13,0.0,103.0,-69.0,4.603048878319e-09,-2.957327745028,-3.227964043617e-06,0.02452208718751,-1.490116119385e-07,5153.600313187,7200.0,2.235174179077e-08,-1.498415492414,4.153698682785e-07,0.9589800088181,376.75,-1.026060317954,-8.046406593704e-09,-1.132190017402e-10,1.0,2193.0,0.0,2.8,0.0,-1.024454832077e-08,103.0,210.0,4.0
23,22,1,16,2,0,0.0,1.077586784959e-05,-3.865352482535e-12,0.0,91.0,-105.84375,4.060169122341e-09,0.3069707129623,-5.684792995453e-06,0.001957356231287,9.147450327873e-06,5153.704490662,7200.0,6.146728992462e-08,-0.400320219264,-1.862645149231e-09,0.9674389888257,208.0,2.912090170644,-7.764609141423e-09,-4.250177036933e-11,1.0,2193.0,0.0,2.0,0.0,-8.381903171539e-09,347.0,240.0,4.0
24,22,1,16,2,0,0.0,0.0002771345898509,-1.136868377216e-13,0.0,75.0,-9.0,5.514158258253e-09,1.26903653242,-5.122274160385e-07,0.01227851770818,5.455687642097e-06,5153.689334869,7200.0,-1.490116119385e-07,1.645190407093,1.061707735062e-07,0.9339820640562,261.71875,0.8011553081572,-8.548570367983e-09,-3.171560679661e-10,1.0,2193.0,0.0,2.0,0.0,2.328306436539e-09,75.0,270.0,4.0
27,22,1,16,2,0,0.0,7.075816392899e-05,2.160049916711e-11,0.0,26.0,116.875,4.212318317109e-09,-3.092854962852,5.91017305851e-06,0.0100176166743,4.040077328682e-06,5153.651613235,7200.0,-3.352761268616e-08,-2.468746289924,-1.471489667892e-07,0.9738924207913,309.8125,0.6299790223207,-7.874613723555e-09,2.396528396456e-10,1.0,2193.0,0.0,2.8,0.0,1.862645149231e-09,26.0,300.0,4.0
